<pygame.event.peek> 0.184359 0.184359 179411 0
<code object paint at 0x7fc3ea3b7b30, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_gui.py", line 441> 0.041725 0.00053 18 0
<code object make at 0x7fc3e8bbad30, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_canvas.py", line 50> 0.001658 0.000523 4 0
<code object compute_pos at 0x7fc3e8bc9a30, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_winfieldcont.py", line 597> 0.020859 0.000517 11 1
<setattr> 0.000843 0.000511 698 0
<code object upd_child at 0x7fc3ea3540b0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_ui_basics.py", line 343> 0.005502 0.00051 64 0
<code object has at 0x7fc3e8b54a30, file "/usr/lib/python2.7/dist-packages/pygame/sprite.py", line 412> 0.000717 0.000499 183 0
<code object abspos at 0x7fc3c8784d30, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_canvas.py", line 806> 0.000867 0.00048 66 0
<built-in method from_file> 0.00047 0.00047 1 0
<code object mousepos at 0x7fc3c82d76b0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_component.py", line 100> 0.003635 0.000462 66 0
<code object correlate1d at 0x7fc3e41e3eb0, file "/usr/lib/python2.7/dist-packages/scipy/ndimage/filters.py", line 109> 0.048638 0.00046 46 0
<code object paint at 0x7fc3c82d7330, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_component.py", line 38> 0.018374 0.000455 28 14
<code object __init__ at 0x7fc3e8bc31b0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_winfieldcont.py", line 28> 0.001372 0.000433 8 0
<code object conv_key at 0x7fc3cd44f930, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_data.py", line 329> 0.000832 0.000431 706 0
<method 'update' of 'dict' objects> 0.000428 0.000428 433 0
<pygame.key.get_pressed> 0.000428 0.000428 171 0
<code object style at 0x7fc3cd6955b0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_fonts.py", line 46> 0.000491 0.000427 132 0
<code object __contains__ at 0x7fc3cd450430, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_data.py", line 439> 0.000741 0.000419 384 0
<code object gaussian_filter at 0x7fc3c8f03330, file "/usr/lib/python2.7/dist-packages/scipy/ndimage/filters.py", line 248> 0.051472 0.000416 23 0
<code object set_info at 0x7fc3cd4548b0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_data.py", line 707> 0.001383 0.000403 90 0
<code object __setattr__ at 0x7fc3cd45cc30, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_data.py", line 1180> 0.000401 0.000399 518 4
<code object __init__ at 0x7fc3cd454230, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_data.py", line 576> 0.002199 0.000393 27 0
<code object draw at 0x7fc3e8b568b0, file "/usr/lib/python2.7/dist-packages/pygame/sprite.py", line 752> 0.005181 0.000386 52 0
<code object make_table at 0x7fc3ea344430, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_winfields.py", line 433> 0.006016 0.000372 13 0
<code object make_data at 0x7fc3cd44f6b0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_data.py", line 205> 0.021703 0.000356 57 53
<code object __init__ at 0x7fc3cd45c6b0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_data.py", line 1099> 0.001015 0.000355 18 0
<code object partition at 0x7fc3ea344330, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_winfields.py", line 402> 0.0011 0.000334 10 0
<code object __init__ at 0x7fc3cd4501b0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_data.py", line 413> 0.002558 0.000333 124 4
<code object event at 0x7fc3ea354f30, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_ui_basics.py", line 660> 0.697732 0.000331 68 1
<method 'append' of 'list' objects> 0.000321 0.000321 1978 0
<code object paint at 0x7fc3c82db9b0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_basecanvas.py", line 252> 0.000546 0.000312 14 0
<code object __init__ at 0x7fc3e8b54430, file "/usr/lib/python2.7/dist-packages/pygame/sprite.py", line 299> 0.00031 0.00031 361 0
<code object __getitem__ at 0x7fc3cd4502b0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_data.py", line 426> 0.00086 0.000306 419 0
<code object precursors at 0x7fc3cd454130, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_data.py", line 543> 0.000664 0.000306 102 0
<code object _deepcopy_tuple at 0x7fc3d32b2a30, file "/usr/lib/python2.7/copy.py", line 234> 0.001173 0.000304 43 0
<code object add_edge at 0x7fc3d2198830, file "/usr/local/lib/python2.7/dist-packages/networkx-1.9-py2.7.egg/networkx/classes/digraph.py", line 427> 0.000344 0.000295 51 0
<code object upd_table at 0x7fc3ea3444b0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_winfields.py", line 517> 0.000424 0.000292 10 0
<code object add at 0x7fc3e8bbfa30, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_canvas.py", line 157> 0.082361 0.00029 18 0
<code object event at 0x7fc3c82d73b0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_component.py", line 57> 0.043451 0.000283 66 0
<code object paint at 0x7fc3c87848b0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_canvas.py", line 667> 0.008752 0.000276 14 0
<code object add at 0x7fc3e8bc94b0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_winfieldcont.py", line 418> 0.01373 0.000276 16 0
<code object make_surface at 0x7fc3c30620b0, file "/media/neve/nout/Projects/Jehuti/_src/gam_canvasicons.py", line 129> 0.002127 0.000268 5 0
<code object _get_output at 0x7fc3c875c330, file "/usr/lib/python2.7/dist-packages/scipy/ndimage/_ni_support.py", line 70> 0.000487 0.000266 69 0
<code object _deepcopy_dict at 0x7fc3d32b2ab0, file "/usr/lib/python2.7/copy.py", line 253> 0.002856 0.000263 48 0
<method 'split' of 'str' objects> 0.000251 0.000251 604 0
<code object successors at 0x7fc3d21a00b0, file "/usr/local/lib/python2.7/dist-packages/networkx-1.9-py2.7.egg/networkx/classes/digraph.py", line 677> 0.000366 0.000248 106 0
<code object __init__ at 0x7fc3e8bdff30, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_winfields.py", line 13> 0.001953 0.000248 16 0
<code object mousepos at 0x7fc3c8784cb0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_canvas.py", line 803> 0.005567 0.000246 66 0
<code object visual_advance at 0x7fc3e8ba3030, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_gui.py", line 609> 0.000276 0.000236 80 0
<code object sprites at 0x7fc3e8b544b0, file "/usr/lib/python2.7/dist-packages/pygame/sprite.py", line 303> 0.000234 0.000234 138 0
<method 'close' of 'file' objects> 0.000227 0.000227 7 0
<code object event at 0x7fc3c303bd30, file "/media/neve/nout/Projects/Jehuti/_src/gam_cast_view.py", line 333> 0.001004 0.000223 65 0
<numpy.core.multiarray.zeros> 0.000221 0.000221 69 0
<code object set_image at 0x7fc3ea344f30, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_ui_complete.py", line 68> 0.009299 0.000221 37 0
<code object __init__ at 0x7fc3e8b54030, file "/usr/lib/python2.7/dist-packages/pygame/sprite.py", line 253> 0.000331 0.000218 54 0
<code object update at 0x7fc3ea354830, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_ui_basics.py", line 558> 0.005718 0.000216 368 0
<math.exp> 0.000215 0.000215 1280 0
<code object sprites at 0x7fc3e8b56830, file "/usr/lib/python2.7/dist-packages/pygame/sprite.py", line 744> 0.00021 0.00021 149 0
<code object normpath at 0x7fc3ea49fdb0, file "/usr/lib/python2.7/posixpath.py", line 336> 0.00031 0.000204 29 0
<code object <genexpr> at 0x7fc3e8bc36b0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_winfieldcont.py", line 111> 0.000521 0.000203 249 0
<code object __init__ at 0x7fc3ea340eb0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_winfields.py", line 312> 0.039553 0.000197 12 0
<len> 0.000195 0.000195 1782 0
<code object _all at 0x7fc3d508ea30, file "/usr/lib/python2.7/dist-packages/numpy/core/_methods.py", line 35> 0.001138 0.000193 76 0
<method 'subsurface' of 'pygame.Surface' objects> 0.00019 0.00019 83 0
<pygame.transform.rotate> 0.000189 0.000189 10 0
<code object update at 0x7fc3e8bdf530, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_canvas.py", line 454> 0.06947 0.000187 4 0
<code object get_linesize at 0x7fc3cd6953b0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_fonts.py", line 22> 0.000198 0.00018 74 0
<getattr> 0.000179 0.000179 749 0
<code object <genexpr> at 0x7fc3ea3542b0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_ui_basics.py", line 399> 0.000177 0.000177 330 0
<code object __contains__ at 0x7fc3e8b547b0, file "/usr/lib/python2.7/dist-packages/pygame/sprite.py", line 342> 0.000893 0.000176 183 0
<code object launch at 0x7fc3c2fd5230, file "/media/neve/nout/Projects/Jehuti/_src/gam_gui.py", line 147> 0.496465 0.000175 1 0
<code object __init__ at 0x7fc3ea344c30, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_ui_complete.py", line 20> 0.000547 0.000173 24 0
<method 'strip' of 'str' objects> 0.00017 0.00017 1556 0
<code object rect_init at 0x7fc3c82cb330, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_canvasicons.py", line 152> 0.000498 0.000169 15 0
<code object update at 0x7fc3cd450830, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_data.py", line 469> 0.000485 0.000169 77 0
<code object update at 0x7fc3c82d72b0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_component.py", line 35> 0.018502 0.000167 32 16
<code object add at 0x7fc3e8b56630, file "/usr/lib/python2.7/dist-packages/pygame/sprite.py", line 681> 0.000365 0.000167 353 0
<code object base_color at 0x7fc3ea3442b0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_winfields.py", line 393> 0.000241 0.000167 98 0
<code object <dictcomp> at 0x7fc3c2fcb330, file "/media/neve/nout/Projects/Jehuti/_src/gam_cast_chara.py", line 62> 0.000245 0.000164 27 0
<method 'iteritems' of 'dict' objects> 0.000161 0.000161 538 0
<code object make_hud at 0x7fc3c303bdb0, file "/media/neve/nout/Projects/Jehuti/_src/gam_cast_view.py", line 339> 0.224952 0.000161 2 0
<sorted> 0.000166 0.000159 24 0
<code object IDify at 0x7fc3cd4547b0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_data.py", line 688> 0.000416 0.000157 110 20
<code object update at 0x7fc3e8bbab30, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_windows.py", line 338> 0.011727 0.000156 34 2
<code object mutate at 0x7fc3ea354630, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_ui_basics.py", line 466> 0.001167 0.000156 44 0
<code object olistdir at 0x7fc3ea367230, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_globals.py", line 90> 0.002706 0.000156 12 0
<code object shallow_nested at 0x7fc3ea3678b0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_globals.py", line 255> 0.00024 0.000152 42 0
<code object __setitem__ at 0x7fc3cd450330, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_data.py", line 430> 0.000359 0.000148 154 0
<code object <genexpr> at 0x7fc3ea3544b0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_ui_basics.py", line 431> 0.000157 0.000147 50 0
<code object event at 0x7fc3c3008330, file "/media/neve/nout/Projects/Jehuti/_src/gam_match.py", line 185> 0.043596 0.000145 66 0
<method 'get_rect' of 'pygame.Surface' objects> 0.000145 0.000145 343 0
<code object make_dependencies at 0x7fc3ea39ce30, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_gui.py", line 56> 0.000244 0.000145 2 0
<code object open_editor at 0x7fc3c2fd59b0, file "/media/neve/nout/Projects/Jehuti/_src/gam_gui.py", line 212> 0.49209 0.000144 1 0
<code object dirty at 0x7fc3e8bc3430, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_winfieldcont.py", line 79> 0.000142 0.000142 108 19
<code object asarray at 0x7fc3de55bd30, file "/usr/lib/python2.7/dist-packages/numpy/core/numeric.py", line 392> 0.000674 0.00014 161 0
<method 'acquire' of 'thread.lock' objects> 0.000139 0.000139 5 0
<code object pass_event at 0x7fc3cd6a5cb0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_events.py", line 54> 0.001185 0.000138 4 0
<code object resource_path at 0x7fc3ea3671b0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_globals.py", line 75> 0.000356 0.000138 33 0
<id> 0.000135 0.000135 1679 0
<code object dataload at 0x7fc3c2fac730, file "/media/neve/nout/Projects/Jehuti/_src/gam_game.py", line 219> 0.00385 0.000135 6 2
<code object <genexpr> at 0x7fc3cd44f4b0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_data.py", line 183> 0.001806 0.000132 185 8
<code object inverse_conv_key at 0x7fc3cd44f9b0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_data.py", line 337> 0.000194 0.00013 88 0
<method 'all' of 'numpy.ndarray' objects> 0.001268 0.00013 76 0
<method 'format' of 'str' objects> 0.000127 0.000127 72 0
<method 'make_surface' of 'pygame.PixelArray' objects> 0.000126 0.000126 13 0
<code object add_internal at 0x7fc3e8b565b0, file "/usr/lib/python2.7/dist-packages/pygame/sprite.py", line 645> 0.000164 0.000125 30 0
<code object should_contain at 0x7fc3cd454db0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_data.py", line 913> 0.000197 0.000124 45 0
<code object is_focused at 0x7fc3ea351bb0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_ui_basics.py", line 256> 0.000161 0.000122 188 0
<code object set_graph at 0x7fc3e8bbf4b0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_canvas.py", line 83> 0.117727 0.00012 2 0
<code object is_disabled at 0x7fc3ea351db0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_ui_basics.py", line 272> 0.000145 0.00012 168 0
<code object keymap at 0x7fc3ea39c1b0, file "__main__.py", line 80> 0.00028 0.000119 80 0
<code object add_to_group at 0x7fc3ea354b30, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_ui_basics.py", line 601> 0.00046 0.000118 32 6
<code object add at 0x7fc3c82d1b30, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_graph.py", line 212> 0.001896 0.000116 30 6
<code object _normalize_sequence at 0x7fc3c875c2b0, file "/usr/lib/python2.7/dist-packages/scipy/ndimage/_ni_support.py", line 55> 0.000162 0.000116 46 0
<code object size at 0x7fc3cd695330, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_fonts.py", line 15> 0.000116 0.000116 64 0
<pygame.draw.rect> 0.000116 0.000116 17 0
<method 'set_colorkey' of 'pygame.Surface' objects> 0.000115 0.000115 82 0
<code object assess_itemstate at 0x7fc3ea34d730, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_canvas.py", line 556> 0.000291 0.000115 3 0
<code object create at 0x7fc3c82cbab0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_canvasicons.py", line 285> 0.020224 0.000111 5 0
<code object get_infotypes at 0x7fc3c2fcfa30, file "/media/neve/nout/Projects/Jehuti/_src/gam_cast_chara.py", line 75> 0.000159 0.00011 32 0
<method 'keys' of 'dict' objects> 0.000108 0.000108 239 0
<code object unhover at 0x7fc3c8784c30, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_canvas.py", line 796> 0.000138 0.000108 65 0
<code object is_sole_source at 0x7fc3cd454530, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_data.py", line 627> 0.000593 0.000108 62 0
<code object record at 0x7fc3cd44f130, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_data.py", line 48> 0.000143 0.000107 60 0
<code object zoom at 0x7fc3c877f1b0, file "<string>", line 2> 0.000106 0.000106 229 0
<code object resize at 0x7fc3e8bc3a30, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_winfieldcont.py", line 175> 0.000814 0.000106 6 1
<code object image at 0x7fc3e8bc3b30, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_winfieldcont.py", line 194> 0.003229 0.000105 73 0
<code object iscomplexobj at 0x7fc3deaf3930, file "/usr/lib/python2.7/dist-packages/numpy/lib/type_check.py", line 237> 0.000188 0.000104 46 0
<code object add at 0x7fc3e8b548b0, file "/usr/lib/python2.7/dist-packages/pygame/sprite.py", line 345> 0.000159 0.000104 68 0
<method 'setdefault' of 'dict' objects> 0.000103 0.000103 204 0
<code object color_mod at 0x7fc3ea34d1b0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_ui_complete.py", line 93> 0.000126 0.000103 68 0
<code object __init__ at 0x7fc3c3008230, file "/media/neve/nout/Projects/Jehuti/_src/gam_match.py", line 141> 0.418075 0.000102 1 0
<method 'pop' of 'dict' objects> 0.0001 0.0001 412 0
<code object get_info at 0x7fc3c2fcb3b0, file "/media/neve/nout/Projects/Jehuti/_src/gam_cast_chara.py", line 54> 0.000383 0.0001 27 0
<code object glow at 0x7fc3cd695ab0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_effects.py", line 9> 0.070319 0.0001 23 0
<code object __init__ at 0x7fc3e8bba330, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_windows.py", line 10> 0.03623 9.8e-05 6 0
<code object make_icon at 0x7fc3c303b230, file "/media/neve/nout/Projects/Jehuti/_src/gam_cast_view.py", line 135> 0.221463 9.6e-05 4 0
<code object get at 0x7fc3cd450730, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_data.py", line 456> 0.000346 9.6e-05 59 0
<code object klassmake at 0x7fc3ea3e6eb0, file "__main__.py", line 14> 0.003701 9.6e-05 33 0
<code object add at 0x7fc3e8bba7b0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_windows.py", line 187> 0.076298 9.5e-05 10 0
<code object _any at 0x7fc3d508e9b0, file "/usr/lib/python2.7/dist-packages/numpy/core/_methods.py", line 31> 0.000652 9.4e-05 68 0
<code object gam_FCadd at 0x7fc3ea39c6b0, file "/media/neve/nout/Projects/Jehuti/_src/gam_winfields.py", line 52> 0.01384 9.4e-05 16 0
<pygame.transform.flip> 9.3e-05 9.3e-05 2 0
<code object update at 0x7fc3e8bc3c30, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_winfieldcont.py", line 249> 0.009773 9.2e-05 23 2
<code object successors_iter at 0x7fc3d2198e30, file "/usr/local/lib/python2.7/dist-packages/networkx-1.9-py2.7.egg/networkx/classes/digraph.py", line 660> 0.000118 8.8e-05 106 0
<code object blit_array at 0x7fc3e155c830, file "/usr/lib/python2.7/dist-packages/pygame/_numpysurfarray.py", line 67> 0.001606 8.8e-05 23 0
<code object draw at 0x7fc3e8b54b30, file "/usr/lib/python2.7/dist-packages/pygame/sprite.py", line 464> 0.00262 8.7e-05 44 0
<code object __init__ at 0x7fc3ea39cd30, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_gui.py", line 11> 0.150397 8.7e-05 2 0
<code object has_internal at 0x7fc3e8b54630, file "/usr/lib/python2.7/dist-packages/pygame/sprite.py", line 325> 8.6e-05 8.6e-05 245 0
<code object __init__ at 0x7fc3ea3669b0, file "/usr/lib/python2.7/dist-packages/pygame/sprite.py", line 121> 8.6e-05 8.6e-05 70 0
